model,auc,auc_ci_low,auc_ci_high,accuracy,sensitivity,specificity,precision,recall,f1_macro,avg_precision_score
gb_raw_binary_centers,0.45833333333333337,0.23480551754301068,0.681861149123656,0.7368421052631579,0.0,0.9333333333333333,0.0,0.0,0.42424242424242425,0.2020676691729323
lr_raw_binary_centers,0.5666666666666667,0.33541926993736926,0.797914063395964,0.7631578947368421,0.25,0.9,0.4,0.25,0.5824175824175823,0.29452473100570925
rf_raw_binary_centers,0.5770833333333334,0.345810303020212,0.8083563636464548,0.6842105263157895,0.0,0.8666666666666667,0.0,0.0,0.40625,0.2892094017094017
